Row Labels,Max of BLK,Max of G,Average of FG,Count of Year
Bob Hopkins,,75,213.5,4
Bob Houbregs*,,70,159.2857143,7
Bob Kauffman,18,82,329.4285714,7
Bob Kinney,,60,233,1
Bob Knight,,2,3,1
Bob Lanier*,247,82,514.1875,16
Bob Lavoy,,70,159.3333333,6
Bob Lochmueller,,62,79,1
Bob Love,28,82,357.3125,16
Bob Martin,33,53,20.5,2
Bob McAdoo*,246,82,441.2,20
Bob McCann,58,79,59.2,5
Bob McNeill,,75,69.5,4
Bob Miller,1,2,2,1
Bob Naber,,4,0,1
Bob Nash,18,82,110.25,4
Bob Peterson,,58,37.8,5
Bob Pettit*,,80,668.0909091,11
Bob Portman,,68,129.75,4
Bob Priddy,,16,14,1
Bob Quick,,56,58.33333333,6
Bob Riley,,7,4,1
Bob Royer,,42,78,1
Bob Rule,10,82,274.8333333,12
Bob Santini,,4,5,1
Bob Schafer,,54,45.25,4
Bob Sims,,65,128.6666667,3
Bob Sura,33,82,176.6666667,12
Bob Thornton,12,71,38.5,10
Bob Tough,,29,28.66666667,3
Bob Verga,0,21,42,1
Bob Warlick,,69,118.1666667,6
Bob Weiss,19,82,176.9285714,14
Bob Wiesenhahn,,60,51,1
Bob Wilkerson,27,81,322.2857143,7
Bob Williams,,20,11,2
Bob Wilson,,63,79,1
Bob Wood,,6,3,1
Boban Marjanovic,23,54,88.5,2
Bobby Brown,3,68,68.71428571,7
Bobby Cattage,0,49,44,2
Bobby Cook,,51,222,1
Bobby Hurley,3,72,64.85714286,7
Bobby Jackson,11,81,211.3571429,14
Bobby Jones,162,82,210.2941176,17
Bobby Lewis,,79,141,4
Bobby Phills,27,80,217.4444444,9
Bobby Portis,22,64,184.5,2
Bobby Simmons,21,75,155.1,10
Bobby Smith,,10,6.5,2
Bobby Wanzer*,,72,258.25,8
Bobby Washington,,69,123,2
Bobby Watson,,63,72,1
Bobby Wilson,2,58,86.25,4
Bojan Bogdanovic,9,81,267.4,5
Bones McKinney,,63,105.4,5
Boniface N'Dong,5,23,22,1
Bonzi Wells,32,75,244.9285714,14
Boo Ellis,,72,113.5,2
Boris Diaw,85,82,244.9444444,18
Boris Nachamkin,,6,6,1
Bostjan Nachbar,26,76,95.9,10
Bracey Wright,1,19,22.5,2
Brad Branson,26,62,76,2
Brad Daugherty,78,80,477.875,8
Brad Davis,18,82,159.7894737,19
Brad Holland,1,41,29,5
Brad Lohaus,88,81,125.1764706,17
Brad Miller,86,82,228,18
Brad Sellers,69,82,141.125,8
Brad Wright,6,14,10.5,2
Bradley Beal,29,77,424.4,5
Brady Walker,,68,127,5
Brandan Wright,94,75,107.5,14
Branden Dawson,1,6,2,1
Brandin Knight,0,1,0,1
Brandon Armstrong,2,56,33.66666667,3
Brandon Bass,71,82,213.1666667,12
Brandon Davies,8,51,41,4
Brandon Hunter,7,36,45,2
Brandon Ingram,36,79,276,1
Brandon Jennings,22,82,252.25,12
Brandon Knight,20,75,308.375,8
Brandon Roy,22,78,370.6666667,6
Brandon Rush,65,82,135.5555556,9
Brandon Williams,3,9,5.666666667,3
Brant Weidner,2,8,2,1
Brendan Haywood,158,81,159.0666667,15
Brendan McCann,,36,7.666666667,3
Brent Barry,37,81,194.3125,16
Brent Price,4,81,90.88888889,9
Brent Scott,1,16,8,1
Brett Szabo,32,70,54,1
Brett Vroman,5,11,10,1
Brevin Knight,21,80,133.1176471,17
Brian Cardinal,20,76,55.33333333,12
Brian Cook,32,81,70.8,15
Brian Davis,4,68,40,1
Brian Evans,13,72,40,7
Brian Grant,116,82,258.5833333,12
Brian Heaney,,14,13,1
Brian Howard,34,68,118.5,2
Brian Martin,1,8,2,3
Brian Oliver,4,73,38.75,4
Brian Quinnett,13,68,48.8,5
Brian Roberts,7,78,118.1428571,7
Brian Rowsom,12,44,52.66666667,3
Brian Scalabrine,19,71,53.63636364,11
Brian Shaw,34,82,164,18
Brian Skinner,77,77,76.66666667,18
Brian Taylor,25,80,267.6666667,6
Brian Winters,40,80,498.8888889,9
Briante Weber,3,20,13,6
Brice Johnson,1,3,2,1
Britton Johnsen,1,20,11.5,2
Brook Lopez,154,82,449.3333333,9
Brook Steppe,6,62,88.6,5
Brooks Thompson,2,67,57.875,8
Bruce Bowen,53,82,134.4666667,15
Bruce Douglas,0,8,7,1
Bruce Flowers,12,53,110,1
Bruce Hale,,64,128.5,2
Bruce Kuczenski,1,15,5,4
Bruce Seals,58,81,332,3
Bruno Caboclo,1,9,3.666666667,3
Bruno Sundov,4,26,9.222222222,9
Bryan Warrick,8,58,57.83333333,6
Bryant Reeves,80,77,333.1666667,6
Bryant Stith,20,82,202.1,10
Bryce Cotton,0,15,9.25,4
Bryce Dejean-Jones,2,14,28,1
Bryce Drew,4,72,69.83333333,6
Bryn Forbes,0,36,36,1
Bryon Russell,31,82,174.9230769,13
Bubba Wells,4,39,48,1
Bubba Wilson,0,16,7,1
Buck Johnson,62,82,274.5714286,7
Buck Williams,125,82,376.7058824,17
Bucky Bockhorn,,80,320.7142857,7
Bucky McConnell,,14,27,1
Bud Acton,,23,29,1
Bud Grant,,61,47.5,2
Bud Koper,,54,106,1
Bud Ogden,,47,53,2
Bud Olsen,,79,68.09090909,11
Bud Stallworth,17,77,204.2,5
Buddy Hield,9,82,218,3
Buddy Jeannette*,,37,42,1
Butch Beard,11,82,219.5454545,11
Butch Carter,13,81,162.125,8
Butch Feher,7,48,86,1
Butch Graves,0,4,2,1
Butch Lee,1,82,98.66666667,6
Butch Van,,56,55,1
Byron Beck,1,53,107,1
Byron Dinkins,2,33,18,4
Byron Houston,43,79,76.75,4
Byron Irvin,2,50,55,3
Byron Mullens,52,65,90,7
Byron Scott,31,82,422.7142857,14
C.J. Kupec,4,82,82.33333333,3
C.J. McCollum,42,80,391.5,4
C.J. Miles,38,78,210.4166667,12
C.J. Watson,12,82,151.6,10
C.J. Wilcox,2,23,16.66666667,3
Cal Bowdler,21,52,54.33333333,3
Cal Christensen,,71,97.2,5
Cal Ramsey,,11,20,4
Calbert Cheaney,36,82,258.9230769,13
Caldwell Jones,200,82,182.4285714,14
Calvin Booth,111,71,40.375,16
Calvin Garrett,10,70,93.75,4
Calvin Murphy*,9,82,557.4615385,13
Calvin Natt,36,80,311.4666667,15
Cameron Bairstow,3,18,8,2
Cameron Payne,6,57,60.5,4
Campy Russell,25,82,377.5555556,9
Carey Scurry,66,78,75,5
Caris LeVert,8,57,171,1
Carl Bailey,0,1,1,1
Carl Braun,,72,303.3636364,11
Carl Henry,0,28,31,1
Carl Herrera,53,81,106.9,10
Carl Kilpatrick,0,2,1,1
Carl Landry,63,81,225.3846154,13
Carl McNulty,,1,1,1
Carl Nicks,4,80,124.4,5
Carl Shaeffer,,43,32.5,2
Carl Thomas,7,43,21,6
Carldell Johnson,0,15,11,1
Carlos Arroyo,6,77,113.8235294,17
Carlos Boozer,55,81,449.7692308,13
Carlos Clark,2,62,41.5,2
Carlos Delfino,21,82,184,8
Carlos Rogers,69,56,93.5,10
Carlos Terry,13,55,40.66666667,3
Carlton McKinney,1,7,5,2
Carmelo Anthony,51,82,581.25,16
Caron Butler,31,78,292.1666667,18
Carrick Felix,0,7,7,1
Cartier Martin,7,59,53.72727273,11
Casey Jacobsen,9,84,106.8333333,6
Casey Shaw,0,9,1,1
Casper Ware,0,9,18,1
Cazzie Russell,17,82,431,12
Cedric Ball,2,7,3,1
Cedric Bozeman,2,23,11,1
Cedric Ceballos,28,78,235.3529412,17
Cedric Henderson,45,82,98.875,8
Cedric Hunter,0,1,0,1
Cedric Jackson,2,12,3,4
Cedric Lewis,0,3,2,1
Cedric Maxwell,74,81,283.5384615,13
Cedric Simmons,23,43,12.14285714,7
Cedrick Hordges,19,77,212.5,2
Cezary Trybanski,6,15,1.25,4
Chad Gallagher,0,2,3,1
Chad Kinch,6,41,34.66666667,3
Chandler Parsons,32,76,324.6666667,6
Channing Frye,79,82,225.8461538,13
Charles Barkley*,125,82,527.1875,16
Charles Bradley,27,51,42.33333333,3
Charles Claxton,1,3,1,1
Charles Davis,22,74,97.58333333,12
Charles Dudley,6,82,114.3333333,6
Charles Jenkins,6,59,57,4
Charles Johnson,8,82,241.3333333,9
Charles Jones,197,81,54.86956522,23
Charles Oakley,48,82,254.4736842,19
Charles O'Bannon,3,30,25,2
Charles Pittman,23,69,94.75,4
Charles Shackleford,51,72,116.3333333,6
Charles Smith,145,81,159.9130435,23
Charles Thomas,1,36,18,1
Charley Shipp,,23,35,1
Charlie Bell,12,82,132.7777778,9
Charlie Black,,65,114.5,4
Charlie Criss,6,81,129.75,12
Charlie Davis,0,75,153.8,5
Charlie Hardnett,,78,144.3333333,3
Charlie Lowery,,20,17,1
Charlie Parsley,,9,8,1
Charlie Paulk,,68,68.2,5
Charlie Scott,30,82,413.4545455,11
Charlie Sitton,6,43,39,1
Charlie Tyra,,78,242.6,5
Charlie Villanueva,63,81,241.0909091,11
Charlie Ward,37,82,120,13
Charlie Yelverton,,69,206,1
Chase Budinger,18,78,143.5555556,9
Chasson Randle,2,26,26.66666667,3
Chauncey Billups,18,82,250.7391304,23
Cheese Johnson,0,9,12,1
Cheick Diallo,7,17,36,1
Cheikh Samb,10,18,3,5
Cherokee Parks,86,79,91.09090909,11
Chet Walker*,6,82,528.9230769,13
Chick Halbert,,68,136,2
Chick Reiser,,67,197,1
Chico Vaughn,,77,189.4285714,7
Chinanu Onuaku,1,5,5,1
Chink Crossin,,64,185,1
Chips Sobek,,60,95,1
Chris Andersen,175,76,80.82352941,17
Chris Anstey,27,73,101,3
Chris Babb,0,14,8,1
Chris Bosh,113,81,477.6153846,13
Chris Carr,15,60,100.2,10
Chris Childs,15,78,129.3636364,11
Chris Copeland,12,56,91.5,4
Chris Corchiani,2,51,29,5
Chris Crawford,20,56,87,7
Chris Douglas-Roberts,19,67,95.66666667,6
Chris Dudley,179,82,85.38888889,18
Chris Duhon,9,82,150.3333333,9
Chris Engler,17,54,15.36363636,11
Chris Ford,27,82,308.1666667,12
Chris Garner,4,38,15,2
Chris Gatling,63,85,207.3157895,19
Chris Harris,,41,24.66666667,3
Chris Herren,2,45,37,2
Chris Hunter,35,60,109,1
Chris Jefferies,16,51,32.25,4
Chris Jent,0,3,7.5,2
Chris Johnson,28,70,28.42857143,14
Chris Kaman,155,82,264,13
Chris King,33,80,90.33333333,3
Chris McCray,0,5,0,1
Chris McCullough,12,24,19,4
Chris McNealy,16,59,60.33333333,3
Chris Mihm,108,76,143.9,10
Chris Mills,52,80,239.1,10
Chris Morris,96,80,285.8181818,11
Chris Mullin*,63,82,421.25,16
Chris Munk,2,11,3,1
Chris Owens,0,1,2,1
Chris Paul,15,82,457.75,12
Chris Porter,6,51,173,1
Chris Quinn,4,66,63.5,6
Chris Richard,12,52,28,2
Chris Robinson,9,41,49.75,4
Chris Singleton,30,66,77.66666667,3
Chris Smith,22,80,106.25,4
Chris Taft,7,17,23,1
Chris Washburn,8,37,32.25,4
Chris Webber,164,76,422.9473684,19
Chris Welp,41,72,32.6,5
Chris Whitney,6,82,103.9230769,13
Chris Wilcox,38,82,169.4666667,15
Chris Wright,13,24,15,3
Christian Eyenga,28,44,35.5,4
Christian Laettner,87,82,279.7058824,17
Christian Wood,7,17,17,2
Chubby Cox,1,7,13,1
Chuck Aleksinas,15,74,161,1
Chuck Cooper,,70,129.25,8
Chuck Gilmur,,68,72,2
Chuck Grigsby,,7,7,1
Chuck Hayes,49,82,84.84615385,13
Chuck Mencel,,72,181.5,2
Chuck Mrazovich,,25,28,1
Chuck Nevitt,30,43,10.36363636,11
Chuck Noble,,75,194.5714286,7
Chuck Osborne,,4,1,1
Chuck Person,30,82,428.9230769,13
Chuck Share,,72,159.0909091,11
Chuck Terry,10,67,62.33333333,3
Chuck Williams,4,73,91,4
Chuckie Williams,0,22,14,1
Chucky Atkins,11,82,172.4117647,17
Chucky Brown,38,82,97.04761905,21
Clarence Glover,,25,25,1
Clarence Kea,3,35,31.5,2
Clarence Weatherspoon,116,82,258.6470588,17
Clark Kellogg,43,81,401.6,5
Claude English,,18,11,1
Claude Gregory,13,23,31,2
Claude Overton,,15,19,1
Claude Terry,1,45,54.25,4
Clay Johnson,4,48,28,3
Cleanthony Early,12,39,44,2
Clem Haskins,16,82,390.5555556,9
Clemon Johnson,121,83,166.5,12
Cleo Hill,,58,107,1
Cleveland Buckner,,62,81.5,2
Cliff Alexander,2,8,5,1
Cliff Anderson,,35,18.2,5
Cliff Barker,,56,67,3
Cliff Hagan*,,79,523.9,10
Cliff Levingston,84,82,212.0909091,11
Cliff Meely,77,82,167.5714286,7
Cliff Pondexter,26,78,100,3
Cliff Robinson,103,78,385.4615385,13
Cliff Williams,,3,2,1
Clifford Lett,1,7,8,2
Clifford Ray,173,82,233.3,10
Clifford Robinson,163,82,379.55,20
Clifford Rozier,44,66,71.5,6
Clint Capela,92,77,202.3333333,3
Clint McDaniel,0,12,8,1
Clint Richardson,23,82,217.75,8
Clint Wager,,63,57,1
Clinton Smith,1,41,26,2
Clinton Wheeler,2,59,38,4
Clyde Drexler*,71,82,523.8823529,17
Clyde Lee,27,82,202.6666667,12
